assertion_id	source_assertion_registration_id	participant_role	participant_value	participant_source	source_identity_set_id	participant_identity_kind	participant_source_namespace	participant_count	participant_resolution_status
ar_4b9cbd2119119255ce053ae1410b87bb7529c784af31c9aee23fb8017df81238	d0c5ccde678cbdcfa7a39085d2e8e4788c5fdb5b9f6fbc1ff575442b89fb1d8d	sample	source_identity_set:sis_2f9ad1b0c706e9beac6cc418	source_identity_set_reference	sis_2f9ad1b0c706e9beac6cc418	sample	vap_sample_id	1	resolved_from_source_identity_set
ar_4b9cbd2119119255ce053ae1410b87bb7529c784af31c9aee23fb8017df81238	d0c5ccde678cbdcfa7a39085d2e8e4788c5fdb5b9f6fbc1ff575442b89fb1d8d	variant	source_identity_set:sis_8f33d9da06d70b9d48f2d9f6	source_identity_set_reference	sis_8f33d9da06d70b9d48f2d9f6	variant	vap_variant_id	736468	resolved_from_source_identity_set
ar_55cfadc6a1f7e794f68bc9c54f74d0891ae57cd3dc30726560af5c065ef420b1	d58ae26a52488ede227913d547926c3318cea18b2b97af634e0a8952f4c6f30d	gene	source_identity_set:sis_825844d0ab0d59990e671118	source_identity_set_reference	sis_825844d0ab0d59990e671118	gene	vap_ensembl_gene_id	736468	resolved_from_source_identity_set
ar_55cfadc6a1f7e794f68bc9c54f74d0891ae57cd3dc30726560af5c065ef420b1	d58ae26a52488ede227913d547926c3318cea18b2b97af634e0a8952f4c6f30d	gene	source_identity_set:sis_4b78f9d1268d7945127a8725	source_identity_set_reference	sis_4b78f9d1268d7945127a8725	gene	vap_gene_symbol	736468	resolved_from_source_identity_set
ar_55cfadc6a1f7e794f68bc9c54f74d0891ae57cd3dc30726560af5c065ef420b1	d58ae26a52488ede227913d547926c3318cea18b2b97af634e0a8952f4c6f30d	sample	source_identity_set:sis_75104323f062cc586484fc2e	source_identity_set_reference	sis_75104323f062cc586484fc2e	sample	vap_sample_id	1	resolved_from_source_identity_set
ar_55cfadc6a1f7e794f68bc9c54f74d0891ae57cd3dc30726560af5c065ef420b1	d58ae26a52488ede227913d547926c3318cea18b2b97af634e0a8952f4c6f30d	variant	source_identity_set:sis_120ea2a5d0314cc7d8ba5ec8	source_identity_set_reference	sis_120ea2a5d0314cc7d8ba5ec8	variant	vap_variant_id	736468	resolved_from_source_identity_set
ar_5a034bc58fa4220b712c8054fe7b7c541004ab6bce64b6ab524df990a81b9ec1	db79fd9ab352ac21016cc8ea60dbd3cdedd46c704609368fb0cd79ecd3094efb	gene	source_identity_set:sis_ad4788e7c12d26317aa360eb	source_identity_set_reference	sis_ad4788e7c12d26317aa360eb	gene	vap_ensembl_gene_id	729815	resolved_from_source_identity_set
ar_5a034bc58fa4220b712c8054fe7b7c541004ab6bce64b6ab524df990a81b9ec1	db79fd9ab352ac21016cc8ea60dbd3cdedd46c704609368fb0cd79ecd3094efb	gene	source_identity_set:sis_00bf42133eb3a8423eaa4594	source_identity_set_reference	sis_00bf42133eb3a8423eaa4594	gene	vap_gene_symbol	729815	resolved_from_source_identity_set
ar_5a034bc58fa4220b712c8054fe7b7c541004ab6bce64b6ab524df990a81b9ec1	db79fd9ab352ac21016cc8ea60dbd3cdedd46c704609368fb0cd79ecd3094efb	sample	source_identity_set:sis_fe64e4865fd794f6369b94a9	source_identity_set_reference	sis_fe64e4865fd794f6369b94a9	sample	vap_sample_id	1	resolved_from_source_identity_set
ar_5a034bc58fa4220b712c8054fe7b7c541004ab6bce64b6ab524df990a81b9ec1	db79fd9ab352ac21016cc8ea60dbd3cdedd46c704609368fb0cd79ecd3094efb	variant	source_identity_set:sis_b163b3c93fd2f0d679c92893	source_identity_set_reference	sis_b163b3c93fd2f0d679c92893	variant	vap_variant_id	729815	resolved_from_source_identity_set
