source_identity_set_id	assertion_id	source_assertion_registration_id	registration_unit_id	identity_kind	participant_role	source_namespace	source_identity_count
sis_898e8be37a0ac6c33af73d2d	ar_b7b06ffb4f86388b850fc87ad681f2028771e8e216f407a5d3a195830d39f5f3	f6ceb91c3307a0a84290cc2585c9e0b1cdc82f435e4eaff192b5c598ed445946	mark_phase3_canonical_gsc_epilepsy	evidence_source	evidence_source	gsc_source_id	4405
sis_e129e1a4a60af61497d36d1a	ar_b7b06ffb4f86388b850fc87ad681f2028771e8e216f407a5d3a195830d39f5f3	f6ceb91c3307a0a84290cc2585c9e0b1cdc82f435e4eaff192b5c598ed445946	mark_phase3_canonical_gsc_epilepsy	gene	gene	gsc_ensembl_gene_id	4405
sis_0f1ba92e5a1e27dc5f0d990e	ar_b7b06ffb4f86388b850fc87ad681f2028771e8e216f407a5d3a195830d39f5f3	f6ceb91c3307a0a84290cc2585c9e0b1cdc82f435e4eaff192b5c598ed445946	mark_phase3_canonical_gsc_epilepsy	gene_label	gene_label	gsc_gene_symbol	4405
sis_c22c7cb51109959a4b4e283f	ar_b7b06ffb4f86388b850fc87ad681f2028771e8e216f407a5d3a195830d39f5f3	f6ceb91c3307a0a84290cc2585c9e0b1cdc82f435e4eaff192b5c598ed445946	mark_phase3_canonical_gsc_epilepsy	phenotype	phenotype	gsc_phenotype	4405
sis_7cedbc5eee250127972189c9	ar_b7b06ffb4f86388b850fc87ad681f2028771e8e216f407a5d3a195830d39f5f3	f6ceb91c3307a0a84290cc2585c9e0b1cdc82f435e4eaff192b5c598ed445946	mark_phase3_canonical_gsc_epilepsy	provenance	provenance	gsc_provenance_id	4405
sis_37236d0d4a5a7551bbb08fa0	ar_b7b06ffb4f86388b850fc87ad681f2028771e8e216f407a5d3a195830d39f5f3	f6ceb91c3307a0a84290cc2585c9e0b1cdc82f435e4eaff192b5c598ed445946	mark_phase3_canonical_gsc_epilepsy	semantic_channel	semantic_channel	gsc_semantic_channel	4405
sis_e2d3c4d851d818edeae29454	ar_b7b06ffb4f86388b850fc87ad681f2028771e8e216f407a5d3a195830d39f5f3	f6ceb91c3307a0a84290cc2585c9e0b1cdc82f435e4eaff192b5c598ed445946	mark_phase3_canonical_gsc_epilepsy	source_gene	source_gene	gsc_source_gene_id	4398
sis_c1ba3d87cd28cdbb9e52a442	ar_c0d841f629c817575d6c1c864c1c0ee2519300fe278390660127b2f8a8966caf	b319c81db89a5d4ea4f7bc450527f1ea74c058bd11174665a30872f41c457b75	mark_phase3_canonical_vap_q1_ERR10619212	gene	gene	vap_ensembl_gene_id	905517
sis_f97d9bfd666925fdc09a7c56	ar_c0d841f629c817575d6c1c864c1c0ee2519300fe278390660127b2f8a8966caf	b319c81db89a5d4ea4f7bc450527f1ea74c058bd11174665a30872f41c457b75	mark_phase3_canonical_vap_q1_ERR10619212	gene	gene	vap_gene_symbol	905517
sis_1d6cba746864223a79232b34	ar_c0d841f629c817575d6c1c864c1c0ee2519300fe278390660127b2f8a8966caf	b319c81db89a5d4ea4f7bc450527f1ea74c058bd11174665a30872f41c457b75	mark_phase3_canonical_vap_q1_ERR10619212	sample	sample	vap_sample_id	1
sis_97591fa14c65af8727c2e1a7	ar_c0d841f629c817575d6c1c864c1c0ee2519300fe278390660127b2f8a8966caf	b319c81db89a5d4ea4f7bc450527f1ea74c058bd11174665a30872f41c457b75	mark_phase3_canonical_vap_q1_ERR10619212	variant	variant	vap_variant_id	905517
sis_7412fc47d56cfeb4bf926397	ar_c2651bd4ac55176bf518bd911c740b8fcb46e1f6c11b23e894f16c2dcd7c526d	0958865944cfc4551a2a9d70cf8587a80761d10f60feaa9317c43dba3899bff3	mark_phase3_canonical_gsc_epilepsy	gene	gene	gsc_ensembl_gene_id	3543
sis_2164cb8fc78d1da857441408	ar_c2651bd4ac55176bf518bd911c740b8fcb46e1f6c11b23e894f16c2dcd7c526d	0958865944cfc4551a2a9d70cf8587a80761d10f60feaa9317c43dba3899bff3	mark_phase3_canonical_gsc_epilepsy	gene_label	gene_label	gsc_gene_symbol	3543
